Epochs,loss,std_loss,iou,std_iou,dice_coef,std_dice,val_loss,std_val_loss,val_iou,std_val_iou,val_dice_coef,std_val_dice
284,0.1851749166846275,0.0888662283484424,0.7023608833551407,0.10867870387009511,0.8132441401481628,0.0961948764522377,0.30403312444686886,0.14970740401397817,0.5532407104969025,0.15461638772550287,0.6959668785333634,0.1497073960095554
285,0.16608591228723524,0.025739137596056415,0.7189740478992462,0.037428242258732855,0.8279953479766846,0.027895275937372264,0.26047762036323546,0.08046068624882129,0.5954342663288117,0.10012483223908647,0.7395223796367645,0.08046068624882129
286,0.16467447876930233,0.023775668681589524,0.7195052206516266,0.034587172296729286,0.8281682550907135,0.027542432530376117,0.2645459949970245,0.07713635144673238,0.5909220159053803,0.09067981383098168,0.7354540050029754,0.07713635144673237
287,0.1638367637991905,0.024149884965563397,0.7248664379119873,0.03357281674661726,0.8346226394176484,0.026235731504175144,0.23003604412078854,0.08799175126739502,0.6353650778532028,0.10651915273574797,0.7699639558792114,0.08799175126739502
288,0.15939806252717967,0.018465356200141475,0.7308557212352753,0.025998259137815286,0.8378449320793152,0.017877733783039362,0.21549333333969115,0.07907170764618301,0.6538261741399765,0.0995328521639084,0.7845066666603089,0.079071707646183
289,0.15824592709541319,0.018352516674992263,0.7287322819232941,0.03338716863518359,0.8332944869995117,0.028116670759501878,0.22721976637840266,0.06351728887300088,0.6360317558050156,0.07962513332149596,0.7727802336215973,0.06351728887300087
290,0.19724604636430737,0.022514010051185064,0.692032927274704,0.029714296827655116,0.8027539610862732,0.022514008448591832,0.26709857583045954,0.11603620010472976,0.5932520508766175,0.13267735478225728,0.7329014241695404,0.11603620010472973
291,0.15521132797002787,0.011580469004685037,0.7325672686100007,0.021239341354700344,0.8414701282978058,0.016261395618426357,0.23658604025840757,0.0687490792279328,0.6242899894714355,0.08601723951877166,0.7634139597415924,0.06874907922793282
292,0.15955426692962643,0.03355675479699318,0.7287670731544494,0.04163490485243081,0.8355237245559692,0.03211290104125581,0.290803587436676,0.15267401643135586,0.5695569559931755,0.16381149101563544,0.7091964155435562,0.15267400888291202
293,0.18758403509855265,0.054436247246645364,0.6937246322631836,0.07307469352544757,0.8080604612827301,0.059011107195063923,0.31002563834190366,0.1368882604033956,0.5445039510726929,0.15739392837195143,0.689974358677864,0.13688826613472918
294,0.19566481709480282,0.0552285875628039,0.6788324892520905,0.07671353082186423,0.7975028872489929,0.06125216719054218,0.3022847712039947,0.11522695473992874,0.5492791622877121,0.12587593525146934,0.697715225815773,0.11522696125415817
295,0.18287799358367915,0.037575035798896234,0.6959974288940429,0.05364763120107263,0.811124849319458,0.04247719536243824,0.2779621839523315,0.05896604726411806,0.5710392028093338,0.06894721503214091,0.7220378160476685,0.058966047264118054
296,0.1668968632817268,0.021541458072216354,0.7193928241729737,0.031096503232457454,0.8326443910598755,0.022222314419088025,0.25448454618453975,0.08325422797707417,0.6036527454853058,0.10548604975619563,0.7455154538154602,0.08325422797707416
297,0.16545528173446652,0.019226807221578504,0.7189088702201843,0.029764535118817263,0.8296234428882598,0.023678466422831664,0.25403180122375485,0.06445513233324647,0.601513946056366,0.08589747496331762,0.7459681987762451,0.06445513233324646
298,0.16835143268108363,0.0223907250455751,0.7184908628463745,0.03119917789032154,0.826958954334259,0.024408630989840325,0.26909308433532714,0.0929083188972855,0.5863989949226379,0.11290996346313473,0.7309069156646728,0.09290831889728549
299,0.16168279051780698,0.01940636609721771,0.7282215654850006,0.028887601776582103,0.8374862968921661,0.021248050888583413,0.27422440648078916,0.06269880480708383,0.5763410180807114,0.07781241329020454,0.7257755935192108,0.06269880480708381
300,0.15955609083175656,0.0163068582975984,0.7319542706012726,0.024790523987471513,0.841217714548111,0.016461054997475317,0.24871194958686826,0.07809306702016454,0.6101918786764144,0.09510971480842337,0.7512880504131317,0.07809306702016452
301,0.1564321011304855,0.019407930030731928,0.7337956368923187,0.03711861201104689,0.8392940104007721,0.02946884246331776,0.27310442924499506,0.0812061976701412,0.5799164324998856,0.09454520540354897,0.7268955707550049,0.08120619767014117
302,0.14758094623684878,0.018480009769519922,0.746582955121994,0.028337099940407385,0.8500972211360931,0.021532736128733677,0.26878709793090816,0.12136141173696306,0.5908786922693252,0.13749448015721796,0.7312129020690918,0.12136141173696305
303,0.16689661890268323,0.04953088886390753,0.7226343810558319,0.0698963349397222,0.8295771241188049,0.056948307144237556,0.3061349093914032,0.2207384192792183,0.5653854735195637,0.20432452751574492,0.6938650891184807,0.220738423613724
304,0.16500816792249676,0.05112736533939306,0.7172673463821411,0.0679766386510534,0.8252303957939148,0.05264909008962952,0.2775544703006744,0.07158276978802576,0.5736036270856857,0.08618178856679375,0.7224455296993255,0.07158276978802575
305,0.15577035844326015,0.02470092070517762,0.7317286312580109,0.03510392633803011,0.8377616584300995,0.02666231461081533,0.20269526243209834,0.07156399258211073,0.6699030339717865,0.08979282324388478,0.7973047375679017,0.07156399258211071
306,0.15455563664436336,0.019360057501870594,0.7321763753890991,0.035048321602164555,0.8388827323913575,0.027384627766850255,0.23931787014007563,0.06396264523764315,0.6199434608221054,0.07925387522549757,0.7606821298599243,0.06396264523764315
307,0.19261401444673534,0.020490738747162084,0.7001160979270935,0.0267338316899259,0.8073859810829163,0.020490738671540023,0.24516389369964597,0.0707558259856446,0.6132049679756164,0.08616636825587508,0.754836106300354,0.07075582598564459
308,0.15173540487885473,0.020530133369984566,0.7409159004688263,0.032264436463008674,0.8475304067134857,0.022077023866091623,0.24963746070861814,0.103387893363866,0.6128568440675736,0.12090482469741304,0.7503625392913819,0.10338789336386599
309,0.15230545401573176,0.021098650331571604,0.7364321112632751,0.03405061400913092,0.8401317059993744,0.02809958479891564,0.21263439059257505,0.05005625619712937,0.654190468788147,0.06901161554567536,0.787365609407425,0.05005625619712936
